resolution,nodes,edges,gene_nodes,pathway_nodes,communities,mean_size,median_size,min_size,max_size,singletons,communities_ge_3,communities_ge_5,communities_ge_10
0.2,18181,408046,15501,2680,98,185.52,2.0,2,17275,0,37,5,2
0.5,18181,408046,15501,2680,95,191.379,2.0,2,5073,0,34,10,9
0.8,18181,408046,15501,2680,98,185.52,2.0,2,4131,0,37,14,13
1.0,18181,408046,15501,2680,104,174.817,2.0,2,3026,0,43,20,18
1.2,18181,408046,15501,2680,105,173.152,2.0,2,2419,0,44,21,19
1.5,18181,408046,15501,2680,110,165.282,2.0,2,2301,0,49,24,22
2.0,18181,408046,15501,2680,118,154.076,2.0,2,1657,0,57,29,27
